Architecture,Batchsize,Dropout,Epochs,LearningRate,Length,Model,TrainObs,TrainableParams,Variables,mse,mseref
8,20,0.25,300,0.0001,20,rnn,744,97,ElectricityPeakFM,2.5328714458672326,0.10651505376344085
16,20,0.25,300,0.0001,20,rnn,744,321,ElectricityPeakFM,0.3596082746840091,0.10651505376344085
32,20,0.25,300,0.0001,20,rnn,744,1153,ElectricityPeakFM,0.22641828664292246,0.10651505376344085
8,20,0.5,300,0.0001,20,rnn,744,97,ElectricityPeakFM,6.6638483940388085,0.10651505376344085
16,20,0.5,300,0.0001,20,rnn,744,321,ElectricityPeakFM,1.3387086867185962,0.10651505376344085
32,20,0.5,300,0.0001,20,rnn,744,1153,ElectricityPeakFM,0.15495845830516936,0.10651505376344085
8,20,0.0,300,0.001,20,rnn,744,97,ElectricityPeakFM,0.23763066879800274,0.10651505376344085
16,20,0.0,300,0.001,20,rnn,744,321,ElectricityPeakFM,0.14025535458954638,0.10651505376344085
32,20,0.0,300,0.001,20,rnn,744,1153,ElectricityPeakFM,0.4239878736578713,0.10651505376344085
8,20,0.25,300,0.001,20,rnn,744,97,ElectricityPeakFM,1.2003739832735032,0.10651505376344085
16,20,0.25,300,0.001,20,rnn,744,321,ElectricityPeakFM,0.8802689483599779,0.10651505376344085
32,20,0.25,300,0.001,20,rnn,744,1153,ElectricityPeakFM,1.0173666029018047,0.10651505376344085
8,20,0.5,300,0.001,20,rnn,744,97,ElectricityPeakFM,0.1848268806117073,0.10651505376344085
16,20,0.5,300,0.001,20,rnn,744,321,ElectricityPeakFM,5.535260963768626,0.10651505376344085
32,20,0.5,300,0.001,20,rnn,744,1153,ElectricityPeakFM,0.45718720104893196,0.10651505376344085
8,20,0.0,300,0.01,20,rnn,744,97,ElectricityPeakFM,0.18481338849579904,0.10651505376344085
16,20,0.0,300,0.01,20,rnn,744,321,ElectricityPeakFM,0.9161612730741023,0.10651505376344085
32,20,0.0,300,0.01,20,rnn,744,1153,ElectricityPeakFM,0.4629507130899638,0.10651505376344085
8,20,0.25,300,0.01,20,rnn,744,97,ElectricityPeakFM,0.2449508950382999,0.10651505376344085
16,20,0.25,300,0.01,20,rnn,744,321,ElectricityPeakFM,1.854703856576017,0.10651505376344085
32,20,0.25,300,0.01,20,rnn,744,1153,ElectricityPeakFM,2.8235421014851783,0.10651505376344085
8,20,0.5,300,0.01,20,rnn,744,97,ElectricityPeakFM,8.592266935279211,0.10651505376344085
16,20,0.5,300,0.01,20,rnn,744,321,ElectricityPeakFM,2.6049258453209814,0.10651505376344085
32,20,0.5,300,0.01,20,rnn,744,1153,ElectricityPeakFM,0.8737951676867755,0.10651505376344085
8,20,0.0,300,0.1,20,rnn,744,97,ElectricityPeakFM,30.405102918472846,0.10651505376344085
16,20,0.0,300,0.1,20,rnn,744,321,ElectricityPeakFM,232.54256352207346,0.10651505376344085
32,20,0.0,300,0.1,20,rnn,744,1153,ElectricityPeakFM,232.64834481582488,0.10651505376344085
8,20,0.25,300,0.1,20,rnn,744,97,ElectricityPeakFM,27.495274275625476,0.10651505376344085
16,20,0.25,300,0.1,20,rnn,744,321,ElectricityPeakFM,232.61263593466066,0.10651505376344085
32,20,0.25,300,0.1,20,rnn,744,1153,ElectricityPeakFM,232.64834481582488,0.10651505376344085
8,20,0.5,300,0.1,20,rnn,744,97,ElectricityPeakFM,81.1483299703478,0.10651505376344085
16,20,0.5,300,0.1,20,rnn,744,321,ElectricityPeakFM,220.48111600978123,0.10651505376344085
32,20,0.5,300,0.1,20,rnn,744,1153,ElectricityPeakFM,232.64834481582488,0.10651505376344085
8,20,0.0,300,0.0001,1,ffnn,744,65,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,42.65908589267755,0.10651505376344085
16,20,0.0,300,0.0001,1,ffnn,744,129,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,42.480766276712046,0.10651505376344085
32,20,0.0,300,0.0001,1,ffnn,744,257,ProdUKCS_NBPFM_ElectricityPeakFM_ElectricityBaseFM_EURUSDFX,43.44794793449457,0.10651505376344085
