Architecture,Batchsize,Dropout,Epochs,Iteration,LearningRate,Length,Model,TestLoss,TrainLoss,Variables
8,20,0.0,300,33,0.0001,20,lstm,0.12781108142707936,0.007583962611722013,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,34,0.0001,20,lstm,0.12240591901604847,0.0071897253007566116,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,35,0.0001,20,lstm,0.11375082808957306,0.00682418758773205,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,36,0.0001,20,lstm,0.10704949365988854,0.006478354371974088,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,37,0.0001,20,lstm,0.10199741043791336,0.006163273137365434,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,38,0.0001,20,lstm,0.09715427426240777,0.005908671735567171,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,39,0.0001,20,lstm,0.0909641280730245,0.00565461499789837,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,40,0.0001,20,lstm,0.08680694067590339,0.005408200546768955,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,41,0.0001,20,lstm,0.08106566188476419,0.005195126317144321,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,42,0.0001,20,lstm,0.07897151612065813,0.004979138276326516,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,43,0.0001,20,lstm,0.07437982027649238,0.004814914637829894,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,44,0.0001,20,lstm,0.06949381217841179,0.004642486489038127,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,45,0.0001,20,lstm,0.0655996630128513,0.004506707127499043,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,46,0.0001,20,lstm,0.06411264046666122,0.004385389835385267,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,47,0.0001,20,lstm,0.06194149659726248,0.004281007103034552,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,48,0.0001,20,lstm,0.05828026677131332,0.0041861792271777965,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,49,0.0001,20,lstm,0.056104885244000986,0.004098572984249764,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,50,0.0001,20,lstm,0.05391278493929134,0.004027857340630172,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,51,0.0001,20,lstm,0.05145986198938342,0.003954336147595808,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,52,0.0001,20,lstm,0.05074224904960682,0.0038904819625156053,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,53,0.0001,20,lstm,0.04735434329718031,0.003832307277574717,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,54,0.0001,20,lstm,0.04664233780556148,0.00379061799818317,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,55,0.0001,20,lstm,0.046029182549025265,0.0037429434363558294,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,56,0.0001,20,lstm,0.044327138908087246,0.0037024841407256163,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,57,0.0001,20,lstm,0.044178887037560344,0.003643693958176644,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,58,0.0001,20,lstm,0.042028992354208906,0.003619893407242777,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,59,0.0001,20,lstm,0.04193426102590096,0.003569706497188421,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,60,0.0001,20,lstm,0.04032782104081645,0.0035434620368240766,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,61,0.0001,20,lstm,0.039733273892222795,0.0035062482253135217,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,62,0.0001,20,lstm,0.03883443740872486,0.0034722153281729717,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,63,0.0001,20,lstm,0.03856596766885931,0.0034542312368233325,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,64,0.0001,20,lstm,0.03809243259871359,0.0034149714801983257,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,65,0.0001,20,lstm,0.03630995886182533,0.0033817829012573646,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,66,0.0001,20,lstm,0.03654980268930235,0.0033583886208813337,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,67,0.0001,20,lstm,0.035749865853558147,0.003333137245116923,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,68,0.0001,20,lstm,0.03477771069556575,0.003312597625945286,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,69,0.0001,20,lstm,0.03466155362047595,0.0032786798805818293,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,70,0.0001,20,lstm,0.03427256849126249,0.003258270486650034,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,71,0.0001,20,lstm,0.033665178200325135,0.003244555125389925,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,72,0.0001,20,lstm,0.03366931418823178,0.0032173562564500545,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,73,0.0001,20,lstm,0.03352681582265343,0.003191363126620034,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,74,0.0001,20,lstm,0.03267771292162398,0.003183062889914481,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,75,0.0001,20,lstm,0.03304586798122894,0.003148276476461875,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,76,0.0001,20,lstm,0.031307817362273935,0.0031379049896995814,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,77,0.0001,20,lstm,0.03109205629043181,0.0031046012778968676,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,78,0.0001,20,lstm,0.030609638244915072,0.0030856646746644637,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,79,0.0001,20,lstm,0.0300728335540982,0.003069380376841515,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
