Model,NewVar,SelectionIteration,TestLoss,TrainLoss,TrainingIteration,Vars
ffnn,ProdNL,1,0.28709064279833146,0.22341309319580754,0,ProdNL
ffnn,ProdUKCS,1,0.17799056449564554,0.1327007009938199,0,ProdUKCS
ffnn,StorageNL,1,0.1744754514707032,0.11436607628580063,0,StorageNL
ffnn,StorageUK,1,0.1916432201221425,0.12710796571760016,0,StorageUK
ffnn,TradeBBL,1,0.1989705657926939,0.1367650277573954,0,TradeBBL
ffnn,TradeIUK,1,0.32558996478716534,0.26751615355412167,0,TradeIUK
ffnn,TTFDA,1,0.21471913799803743,0.12873426514367262,0,TTFDA
ffnn,NBPFM,1,0.1912934685586601,0.13333512297881547,0,NBPFM
ffnn,OilFM,1,0.19003735915307077,0.11559095590185094,0,OilFM
ffnn,ElectricityBaseFM,1,0.19568419841028029,0.12295268680299482,0,ElectricityBaseFM
ffnn,ElectricityPeakFM,1,0.20678180672468677,0.12915975836816654,0,ElectricityPeakFM
ffnn,EURUSDFX,1,0.23216720566313753,0.14605644705795473,0,EURUSDFX
ffnn,EURGBPFX,1,0.2688522922095432,0.16881501762777246,0,EURGBPFX
ffnn,ConLDZNL,2,0.2606242519392762,0.23491355175660414,0,StorageNL_ConLDZNL
ffnn,ConNLDZNL,2,0.17819804802376737,0.13028188536620952,0,StorageNL_ConNLDZNL
ffnn,ProdNL,2,0.21703770844846643,0.13897906373985994,0,StorageNL_ProdNL
ffnn,ProdUKCS,2,0.19182873397104203,0.21807409101916897,0,StorageNL_ProdUKCS
ffnn,StorageUK,2,0.1910138104551582,0.13294701930135489,0,StorageNL_StorageUK
ffnn,TradeBBL,2,0.24012004151459662,0.1731851710620421,0,StorageNL_TradeBBL
ffnn,TradeIUK,2,0.2213492780443161,0.15935859644925723,0,StorageNL_TradeIUK
ffnn,TTFDA,2,0.20705234635901706,0.14313353397833403,0,StorageNL_TTFDA
ffnn,NBPFM,2,0.25686758356068723,0.1760578012514499,0,StorageNL_NBPFM
ffnn,OilFM,2,0.2339551013804251,0.1517004777667343,0,StorageNL_OilFM
ffnn,ElectricityBaseFM,2,0.1847230954676546,0.11895253012577693,0,StorageNL_ElectricityBaseFM
ffnn,ElectricityPeakFM,2,0.23618697166763325,0.2170059936701931,0,StorageNL_ElectricityPeakFM
