Architecture,Batchsize,Dropout,Epochs,LearningRate,Length,Model,TrainObs,TrainableParams,Variables,binary_crossentropy,binary_crossentropyref
16,20,0.25,1000,0.001,20,rnn,744,337,EURUSDFX,0.5096919216811456,0.5075514093621799
32,20,0.25,1000,0.001,20,rnn,744,1185,EURUSDFX,0.4754219444218888,0.5075514093621799
8,20,0.5,1000,0.001,20,rnn,744,105,EURUSDFX,0.4555449407267314,0.5075514093621799
16,20,0.5,1000,0.001,20,rnn,744,337,EURUSDFX,0.4736732602399844,0.5075514093621799
32,20,0.5,1000,0.001,20,rnn,744,1185,EURUSDFX,0.4849570460804683,0.5075514093621799
8,20,0.0,1000,0.01,20,rnn,744,105,EURUSDFX,0.4728977423917733,0.5075514093621799
16,20,0.0,1000,0.01,20,rnn,744,337,EURUSDFX,0.8098347490985512,0.5075514093621799
32,20,0.0,1000,0.01,20,rnn,744,1185,EURUSDFX,0.903211659085229,0.5075514093621799
8,20,0.25,1000,0.01,20,rnn,744,105,EURUSDFX,0.46724212003661497,0.5075514093621799
16,20,0.25,1000,0.01,20,rnn,744,337,EURUSDFX,0.47486871554421123,0.5075514093621799
32,20,0.25,1000,0.01,20,rnn,744,1185,EURUSDFX,0.5016599582741037,0.5075514093621799
8,20,0.5,1000,0.01,20,rnn,744,105,EURUSDFX,0.4726198254067386,0.5075514093621799
16,20,0.5,1000,0.01,20,rnn,744,337,EURUSDFX,0.46838408501231066,0.5075514093621799
32,20,0.5,1000,0.01,20,rnn,744,1185,EURUSDFX,0.6722904300469416,0.5075514093621799
8,20,0.0,1000,0.1,20,rnn,744,105,EURUSDFX,0.6786400134104394,0.5075514093621799
16,20,0.0,1000,0.1,20,rnn,744,337,EURUSDFX,0.5150077046566112,0.5075514093621799
32,20,0.0,1000,0.1,20,rnn,744,1185,EURUSDFX,1.2681270477972844,0.5075514093621799
8,20,0.25,1000,0.1,20,rnn,744,105,EURUSDFX,0.6901469244264937,0.5075514093621799
16,20,0.25,1000,0.1,20,rnn,744,337,EURUSDFX,0.7707505433545423,0.5075514093621799
32,20,0.25,1000,0.1,20,rnn,744,1185,EURUSDFX,1.2721275088367283,0.5075514093621799
8,20,0.5,1000,0.1,20,rnn,744,105,EURUSDFX,0.5828996291921583,0.5075514093621799
16,20,0.5,1000,0.1,20,rnn,744,337,EURUSDFX,0.49361221336369854,0.5075514093621799
32,20,0.5,1000,0.1,20,rnn,744,1185,EURUSDFX,1.4590371799588289,0.5075514093621799
8,20,0.0,1000,0.0001,1,ffnn,744,49,ElectricityBaseFM_TTFDA,0.5008144718745062,0.5075514093621799
16,20,0.0,1000,0.0001,1,ffnn,744,97,ElectricityBaseFM_TTFDA,0.5049085058271885,0.5075514093621799
32,20,0.0,1000,0.0001,1,ffnn,744,193,ElectricityBaseFM_TTFDA,0.5126548843478324,0.5075514093621799
8,20,0.25,1000,0.0001,1,ffnn,744,49,ElectricityBaseFM_TTFDA,0.5477399454722481,0.5075514093621799
16,20,0.25,1000,0.0001,1,ffnn,744,97,ElectricityBaseFM_TTFDA,0.5567421225971112,0.5075514093621799
32,20,0.25,1000,0.0001,1,ffnn,744,193,ElectricityBaseFM_TTFDA,0.560072883743272,0.5075514093621799
8,20,0.5,1000,0.0001,1,ffnn,744,49,ElectricityBaseFM_TTFDA,0.5785872877365158,0.5075514093621799
16,20,0.5,1000,0.0001,1,ffnn,744,97,ElectricityBaseFM_TTFDA,0.577893152612672,0.5075514093621799
32,20,0.5,1000,0.0001,1,ffnn,744,193,ElectricityBaseFM_TTFDA,0.5656588981028206,0.5075514093621799
8,20,0.0,1000,0.001,1,ffnn,744,49,ElectricityBaseFM_TTFDA,0.4700822190091174,0.5075514093621799
16,20,0.0,1000,0.001,1,ffnn,744,97,ElectricityBaseFM_TTFDA,0.4635394955033897,0.5075514093621799
32,20,0.0,1000,0.001,1,ffnn,744,193,ElectricityBaseFM_TTFDA,0.4617274163831626,0.5075514093621799
8,20,0.25,1000,0.001,1,ffnn,744,49,ElectricityBaseFM_TTFDA,0.5428546977339572,0.5075514093621799
16,20,0.25,1000,0.001,1,ffnn,744,97,ElectricityBaseFM_TTFDA,0.5498816560933827,0.5075514093621799
32,20,0.25,1000,0.001,1,ffnn,744,193,ElectricityBaseFM_TTFDA,0.5368357280529635,0.5075514093621799
8,20,0.5,1000,0.001,1,ffnn,744,49,ElectricityBaseFM_TTFDA,0.5744982577599985,0.5075514093621799
16,20,0.5,1000,0.001,1,ffnn,744,97,ElectricityBaseFM_TTFDA,0.5654173176134786,0.5075514093621799
32,20,0.5,1000,0.001,1,ffnn,744,193,ElectricityBaseFM_TTFDA,0.5475882209877494,0.5075514093621799
8,20,0.0,1000,0.01,1,ffnn,744,49,ElectricityBaseFM_TTFDA,0.4692959906333076,0.5075514093621799
16,20,0.0,1000,0.01,1,ffnn,744,97,ElectricityBaseFM_TTFDA,0.47868238644854677,0.5075514093621799
32,20,0.0,1000,0.01,1,ffnn,744,193,ElectricityBaseFM_TTFDA,0.47361254818256826,0.5075514093621799
8,20,0.25,1000,0.01,1,ffnn,744,49,ElectricityBaseFM_TTFDA,0.5488706315236707,0.5075514093621799
16,20,0.25,1000,0.01,1,ffnn,744,97,ElectricityBaseFM_TTFDA,0.535872505757437,0.5075514093621799
32,20,0.25,1000,0.01,1,ffnn,744,193,ElectricityBaseFM_TTFDA,0.49686166541951315,0.5075514093621799
8,20,0.5,1000,0.01,1,ffnn,744,49,ElectricityBaseFM_TTFDA,0.5774108721944754,0.5075514093621799
16,20,0.5,1000,0.01,1,ffnn,744,97,ElectricityBaseFM_TTFDA,0.5529869787635342,0.5075514093621799
32,20,0.5,1000,0.01,1,ffnn,744,193,ElectricityBaseFM_TTFDA,0.5184367586187618,0.5075514093621799
8,20,0.0,1000,0.1,1,ffnn,744,49,ElectricityBaseFM_TTFDA,0.5642428648187429,0.5075514093621799
16,20,0.0,1000,0.1,1,ffnn,744,97,ElectricityBaseFM_TTFDA,0.5168106568381391,0.5075514093621799
32,20,0.0,1000,0.1,1,ffnn,744,193,ElectricityBaseFM_TTFDA,0.6657628494205162,0.5075514093621799
8,20,0.25,1000,0.1,1,ffnn,744,49,ElectricityBaseFM_TTFDA,0.5552273115283379,0.5075514093621799
16,20,0.25,1000,0.1,1,ffnn,744,97,ElectricityBaseFM_TTFDA,0.5721456864147737,0.5075514093621799
32,20,0.25,1000,0.1,1,ffnn,744,193,ElectricityBaseFM_TTFDA,0.5444527615502637,0.5075514093621799
8,20,0.5,1000,0.1,1,ffnn,744,49,ElectricityBaseFM_TTFDA,0.590577493451776,0.5075514093621799
16,20,0.5,1000,0.1,1,ffnn,744,97,ElectricityBaseFM_TTFDA,0.5775047337976835,0.5075514093621799
32,20,0.5,1000,0.1,1,ffnn,744,193,ElectricityBaseFM_TTFDA,0.5152586021570749,0.5075514093621799
0,20,0.0,1000,0.0001,1,ffnn_regression,704,5,ProdUKCS_TradeBBL,0.5274174997322661,0.5075514093621799
0,20,0.25,1000,0.0001,1,ffnn_regression,704,5,ProdUKCS_TradeBBL,0.7556308319051099,0.5075514093621799
0,20,0.5,1000,0.0001,1,ffnn_regression,704,5,ProdUKCS_TradeBBL,0.6465737935636313,0.5075514093621799
0,20,0.0,1000,0.001,1,ffnn_regression,704,5,ProdUKCS_TradeBBL,3.0294987266465596,0.5075514093621799
0,20,0.25,1000,0.001,1,ffnn_regression,704,5,ProdUKCS_TradeBBL,2.830996690851423,0.5075514093621799
0,20,0.5,1000,0.001,1,ffnn_regression,704,5,ProdUKCS_TradeBBL,4.369308182406412,0.5075514093621799
0,20,0.0,1000,0.01,1,ffnn_regression,704,5,ProdUKCS_TradeBBL,7.935860044212752,0.5075514093621799
0,20,0.25,1000,0.01,1,ffnn_regression,704,5,ProdUKCS_TradeBBL,7.9847708876414965,0.5075514093621799
0,20,0.5,1000,0.01,1,ffnn_regression,704,5,ProdUKCS_TradeBBL,7.9847708876414965,0.5075514093621799
0,20,0.0,1000,0.1,1,ffnn_regression,704,5,ProdUKCS_TradeBBL,7.9847708876414965,0.5075514093621799
0,20,0.25,1000,0.1,1,ffnn_regression,704,5,ProdUKCS_TradeBBL,7.9847708876414965,0.5075514093621799
0,20,0.5,1000,0.1,1,ffnn_regression,704,5,ProdUKCS_TradeBBL,7.9847708876414965,0.5075514093621799
