Architecture,Batchsize,Dropout,Epochs,Iteration,LearningRate,Length,Model,TestLoss,TrainLoss,Variables
8,20,0.0,300,49,0.0001,20,lstm,0.5278409963013023,0.3395075748364131,TTFDA_EURGBPFX
8,20,0.0,300,50,0.0001,20,lstm,0.5300348936229624,0.3389025882527392,TTFDA_EURGBPFX
8,20,0.0,300,51,0.0001,20,lstm,0.5307281199962862,0.3382358369968271,TTFDA_EURGBPFX
8,20,0.0,300,52,0.0001,20,lstm,0.5311005291759326,0.3377040925045167,TTFDA_EURGBPFX
8,20,0.0,300,53,0.0001,20,lstm,0.5335130847750171,0.3372894031225994,TTFDA_EURGBPFX
8,20,0.0,300,54,0.0001,20,lstm,0.5338275688149596,0.3368869192337477,TTFDA_EURGBPFX
8,20,0.0,300,55,0.0001,20,lstm,0.5350007566232835,0.33645188688270505,TTFDA_EURGBPFX
8,20,0.0,300,56,0.0001,20,lstm,0.535331111601604,0.3360471710242251,TTFDA_EURGBPFX
8,20,0.0,300,57,0.0001,20,lstm,0.5361567883081334,0.3357939926847335,TTFDA_EURGBPFX
8,20,0.0,300,58,0.0001,20,lstm,0.5354970760883824,0.33540196356273466,TTFDA_EURGBPFX
8,20,0.0,300,59,0.0001,20,lstm,0.5362181582598275,0.3351237473468627,TTFDA_EURGBPFX
8,20,0.0,300,60,0.0001,20,lstm,0.5359210871881054,0.33467104846751816,TTFDA_EURGBPFX
8,20,0.0,300,61,0.0001,20,lstm,0.5372986264767186,0.33443099676921806,TTFDA_EURGBPFX
8,20,0.0,300,62,0.0001,20,lstm,0.5378752938041123,0.3342596815638645,TTFDA_EURGBPFX
8,20,0.0,300,63,0.0001,20,lstm,0.5380408754271846,0.3338776748347026,TTFDA_EURGBPFX
8,20,0.0,300,64,0.0001,20,lstm,0.5387192708990907,0.33362320341890855,TTFDA_EURGBPFX
8,20,0.0,300,65,0.0001,20,lstm,0.5421807733114048,0.3331585572131218,TTFDA_EURGBPFX
8,20,0.0,300,66,0.0001,20,lstm,0.5405655887017968,0.33327823933414236,TTFDA_EURGBPFX
8,20,0.0,300,67,0.0001,20,lstm,0.5392853664134138,0.3329016627964153,TTFDA_EURGBPFX
8,20,0.0,300,68,0.0001,20,lstm,0.5406118811618897,0.33267967414952093,TTFDA_EURGBPFX
8,20,0.0,300,69,0.0001,20,lstm,0.5422490674161142,0.33255428920990676,TTFDA_EURGBPFX
8,20,0.0,300,70,0.0001,20,lstm,0.5410228204182399,0.3321640984986418,TTFDA_EURGBPFX
8,20,0.0,300,71,0.0001,20,lstm,0.5423848596151157,0.3320685665133179,TTFDA_EURGBPFX
8,20,0.0,300,72,0.0001,20,lstm,0.5413854207082461,0.3316759479943142,TTFDA_EURGBPFX
8,20,0.0,300,73,0.0001,20,lstm,0.541675909872978,0.331714244459265,TTFDA_EURGBPFX
8,20,0.0,300,74,0.0001,20,lstm,0.5414233087531982,0.3313524506345231,TTFDA_EURGBPFX
8,20,0.0,300,75,0.0001,20,lstm,0.5416875951873359,0.331181416187876,TTFDA_EURGBPFX
8,20,0.0,300,76,0.0001,20,lstm,0.5418032145788593,0.3310074912364124,TTFDA_EURGBPFX
8,20,0.0,300,77,0.0001,20,lstm,0.5422417860357992,0.33086274295885076,TTFDA_EURGBPFX
8,20,0.0,300,78,0.0001,20,lstm,0.5409292678839417,0.33052155263321376,TTFDA_EURGBPFX
8,20,0.0,300,79,0.0001,20,lstm,0.5403455467794531,0.330377847316765,TTFDA_EURGBPFX
8,20,0.0,300,80,0.0001,20,lstm,0.5418056993074315,0.33030742514998684,TTFDA_EURGBPFX
8,20,0.0,300,81,0.0001,20,lstm,0.5421091755551677,0.33017980167141525,TTFDA_EURGBPFX
8,20,0.0,300,82,0.0001,20,lstm,0.5421517827017333,0.3298774944838657,TTFDA_EURGBPFX
8,20,0.0,300,83,0.0001,20,lstm,0.5422201734236491,0.32963339075125675,TTFDA_EURGBPFX
8,20,0.0,300,84,0.0001,20,lstm,0.5418987052254779,0.3295772288355135,TTFDA_EURGBPFX
8,20,0.0,300,85,0.0001,20,lstm,0.5410818761234643,0.3293271174514166,TTFDA_EURGBPFX
8,20,0.0,300,86,0.0001,20,lstm,0.5426004378385442,0.3291326864592491,TTFDA_EURGBPFX
8,20,0.0,300,87,0.0001,20,lstm,0.5415765047073364,0.3289344427726602,TTFDA_EURGBPFX
8,20,0.0,300,88,0.0001,20,lstm,0.5414983901766038,0.3287286716763691,TTFDA_EURGBPFX
8,20,0.0,300,89,0.0001,20,lstm,0.5421185974151858,0.32866881387208097,TTFDA_EURGBPFX
8,20,0.0,300,90,0.0001,20,lstm,0.5422730584458638,0.32843186377838096,TTFDA_EURGBPFX
8,20,0.0,300,91,0.0001,20,lstm,0.5425751685134826,0.3282478525834058,TTFDA_EURGBPFX
8,20,0.0,300,92,0.0001,20,lstm,0.541291038595861,0.32815215552365906,TTFDA_EURGBPFX
8,20,0.0,300,93,0.0001,20,lstm,0.5428217818499893,0.3278339456326218,TTFDA_EURGBPFX
8,20,0.0,300,94,0.0001,20,lstm,0.5397968409202432,0.32761179107011007,TTFDA_EURGBPFX
8,20,0.0,300,95,0.0001,20,lstm,0.5403796440811568,0.32765663631500735,TTFDA_EURGBPFX
8,20,0.0,300,96,0.0001,20,lstm,0.5404469474188743,0.3273731891907031,TTFDA_EURGBPFX
8,20,0.0,300,97,0.0001,20,lstm,0.5396837697073977,0.32729564991689497,TTFDA_EURGBPFX
8,20,0.0,300,98,0.0001,20,lstm,0.538305031436105,0.32694132385715363,TTFDA_EURGBPFX
8,20,0.0,300,99,0.0001,20,lstm,0.5406057775341054,0.3269232159420367,TTFDA_EURGBPFX
8,20,0.0,300,100,0.0001,20,lstm,0.5385499481231936,0.32671503854855416,TTFDA_EURGBPFX
8,20,0.0,300,101,0.0001,20,lstm,0.5392619400255142,0.3264917977234369,TTFDA_EURGBPFX
8,20,0.0,300,102,0.0001,20,lstm,0.5377378846688937,0.32644868926495635,TTFDA_EURGBPFX
8,20,0.0,300,103,0.0001,20,lstm,0.536596499543677,0.32621180422363744,TTFDA_EURGBPFX
8,20,0.0,300,104,0.0001,20,lstm,0.5371100116641291,0.3259849186225604,TTFDA_EURGBPFX
8,20,0.0,300,105,0.0001,20,lstm,0.5367580060997317,0.3259056510543951,TTFDA_EURGBPFX
8,20,0.0,300,106,0.0001,20,lstm,0.5372287524483537,0.3256570775742813,TTFDA_EURGBPFX
8,20,0.0,300,107,0.0001,20,lstm,0.5362997518111301,0.3253684717240513,TTFDA_EURGBPFX
8,20,0.0,300,108,0.0001,20,lstm,0.5357889710895477,0.32538853076997626,TTFDA_EURGBPFX
8,20,0.0,300,109,0.0001,20,lstm,0.5351323563084808,0.32500213236417824,TTFDA_EURGBPFX
8,20,0.0,300,110,0.0001,20,lstm,0.5364362884272811,0.32462910514685417,TTFDA_EURGBPFX
8,20,0.0,300,111,0.0001,20,lstm,0.5354120353216766,0.3246484710083854,TTFDA_EURGBPFX
8,20,0.0,300,112,0.0001,20,lstm,0.5344651449591883,0.3243928820455587,TTFDA_EURGBPFX
8,20,0.0,300,113,0.0001,20,lstm,0.5349969138861984,0.32441317810807174,TTFDA_EURGBPFX
8,20,0.0,300,114,0.0001,20,lstm,0.5339074175684683,0.32400310143668165,TTFDA_EURGBPFX
8,20,0.0,300,115,0.0001,20,lstm,0.5343940802799758,0.3239288660547426,TTFDA_EURGBPFX
8,20,0.0,300,116,0.0001,20,lstm,0.5343786691946368,0.3235644997367936,TTFDA_EURGBPFX
8,20,0.0,300,117,0.0001,20,lstm,0.5343667819935788,0.3233471123041004,TTFDA_EURGBPFX
8,20,0.0,300,118,0.0001,20,lstm,0.5327704729091737,0.3231824914454132,TTFDA_EURGBPFX
8,20,0.0,300,119,0.0001,20,lstm,0.5320315394670733,0.32306025161217616,TTFDA_EURGBPFX
8,20,0.0,300,120,0.0001,20,lstm,0.5304169551499428,0.322615750214105,TTFDA_EURGBPFX
8,20,0.0,300,121,0.0001,20,lstm,0.5305227267165338,0.3224564949751541,TTFDA_EURGBPFX
8,20,0.0,300,122,0.0001,20,lstm,0.527553425841434,0.32187624491991534,TTFDA_EURGBPFX
8,20,0.0,300,123,0.0001,20,lstm,0.5284735131808507,0.32206307083208074,TTFDA_EURGBPFX
8,20,0.0,300,124,0.0001,20,lstm,0.5282442835710381,0.32191607904850794,TTFDA_EURGBPFX
8,20,0.0,300,125,0.0001,20,lstm,0.5270545033998387,0.321617377701626,TTFDA_EURGBPFX
8,20,0.0,300,126,0.0001,20,lstm,0.5256953728134914,0.3211723180307496,TTFDA_EURGBPFX
8,20,0.0,300,127,0.0001,20,lstm,0.5262887042856985,0.32134241190168167,TTFDA_EURGBPFX
8,20,0.0,300,128,0.0001,20,lstm,0.5257361495206433,0.3209503679586354,TTFDA_EURGBPFX
8,20,0.0,300,129,0.0001,20,lstm,0.5271628216229459,0.3209196606310465,TTFDA_EURGBPFX
8,20,0.0,300,130,0.0001,20,lstm,0.5266972266698396,0.32075074166860634,TTFDA_EURGBPFX
8,20,0.0,300,131,0.0001,20,lstm,0.5275583096569584,0.32051584284792667,TTFDA_EURGBPFX
8,20,0.0,300,132,0.0001,20,lstm,0.5265759407512604,0.3203403154207814,TTFDA_EURGBPFX
8,20,0.0,300,133,0.0001,20,lstm,0.5255960635440324,0.32028552469226623,TTFDA_EURGBPFX
8,20,0.0,300,134,0.0001,20,lstm,0.524854533935106,0.3202001045868602,TTFDA_EURGBPFX
8,20,0.0,300,135,0.0001,20,lstm,0.524463969693389,0.31999627344550624,TTFDA_EURGBPFX
8,20,0.0,300,136,0.0001,20,lstm,0.5259074044804419,0.319871836091562,TTFDA_EURGBPFX
8,20,0.0,300,137,0.0001,20,lstm,0.5260708576408766,0.31985416287376034,TTFDA_EURGBPFX
8,20,0.0,300,138,0.0001,20,lstm,0.5227985524682588,0.3195560822884242,TTFDA_EURGBPFX
8,20,0.0,300,139,0.0001,20,lstm,0.5227868770078946,0.31949433624263734,TTFDA_EURGBPFX
8,20,0.0,300,140,0.0001,20,lstm,0.523432933515118,0.3193935879295872,TTFDA_EURGBPFX
8,20,0.0,300,141,0.0001,20,lstm,0.5217111656262029,0.3192368773042515,TTFDA_EURGBPFX
8,20,0.0,300,142,0.0001,20,lstm,0.5220711759181433,0.3192004237364056,TTFDA_EURGBPFX
8,20,0.0,300,143,0.0001,20,lstm,0.5215176598679635,0.3189913254751954,TTFDA_EURGBPFX
8,20,0.0,300,144,0.0001,20,lstm,0.5211191901596643,0.31893564896878374,TTFDA_EURGBPFX
8,20,0.0,300,145,0.0001,20,lstm,0.5200961770549897,0.31880666075214265,TTFDA_EURGBPFX
